2025-08-22 | Provoker | https://www.ticketmaster.co.uk/event/1F005E97C4AB3B49 | Hackney | Moth Club | 300 | 18:30 | 19:00 | 22:00 | Available | N/A | 18:30 | 21:00 | LA indie rock band brings darkwave vibes to an intimate club show.
2025-09-27 | Varius Manx & Kasia Stankiewicz | https://www.ticketmaster.co.uk/event/1F005ECD123456 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 18:00 | 19:00 | 22:00 | Available | N/A | 18:30 | 21:00 | Iconic Polish pop-rock band and singer celebrate 30+ years of hits in a rare London appearance.
2025-09-28 | Jokes No Chaser | https://www.ticketmaster.co.uk/event/35005ED1E123ABCD | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:00 | Available | N/A | 19:30 | 21:00 | Comedy Warehouse’s stand-up showcase featuring a lineup of top urban comedians (18+).
2025-10-02 | Man With A Mission | https://www.ticketmaster.co.uk/event/1F005ED3A123456 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Available | N/A | 19:30 | 21:30 | Japanese wolf-masked rockers hit London on their 15th anniversary world tour.
2025-10-03 | The 8-Bit Big Band | https://www.ticketmaster.co.uk/event/1F005ED4B123456 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Available | N/A | 19:30 | 21:30 | 42-piece jazz orchestra reimagines classic video game soundtracks in an electrifying live show.
2025-10-03 | Infected Mushroom | https://ra.co/events/2134000 | Brixton | Electric Brixton | 1700 | 23:00 | 23:00 | 06:00 | Available | w/ Giorgia Angiuli | 00:00 | 05:00 | Psytrance legends throw an all-night live + DJ set party with special guests (18+).
2025-10-04 | One Vision of Queen | https://www.ticketmaster.co.uk/event/1F005ED5C123456 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Available | N/A | 19:30 | 21:30 | Queen tribute featuring Marc Martel returns with an even bigger spectacle of classics.
2025-10-08 | The Midnight | https://www.ticketmaster.co.uk/event/37005E92AF1A4C9C | Brixton | O2 Academy Brixton | 4921 | 18:00 | 19:00 | 23:00 | Available | N/A | 18:30 | 22:00 | American synthwave duo brings their nostalgic 80s-inspired sound to a packed Brixton Academy.
2025-11-14 | Alex G | https://www.ticketmaster.co.uk/alex-g-london-14-11-2025/event/360062C5B20129DF | Hammersmith | Eventim Apollo | 5000 | 18:30 | 19:00 | 22:30 | Available | N/A | 18:30 | 21:30 | Cult indie singer-songwriter Alex G brings his intimate lo-fi rock to the Apollo stage.
2025-11-22 | Four Tet | https://www.seetickets.com/event/four-tet/alexandra-palace/XXXX | Alexandra Palace | Alexandra Palace | 10000 | 18:30 | 20:00 | 23:00 | Sold Out | N/A | 19:00 | 22:00 | Pioneering electronic artist Four Tet returns to Ally Pally’s Great Hall with an immersive live set.
2025-12-04 | The Rasmus | https://www.ticketmaster.co.uk/event/1F005EF0D123456 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Available | N/A | 19:30 | 21:30 | Finnish rockers deliver their mix of heavy guitars and pop hooks on the London stop of their tour.
